âge,sexe,budget,marié,région_origine,type_destination
29,Homme,10008,Oui,Belgique,Ville
46,Homme,3609,Non,Argentine,Nature
48,Femme,3640,Non,Afrique du Sud,Nature
64,Homme,9336,Oui,Pérou,Ville
43,Femme,2265,Non,Suisse,Nature
61,Femme,6012,Non,France,Ville
29,Homme,12057,Non,Belgique,Ville
43,Homme,9982,Oui,France,Ville
25,Femme,12629,Non,USA,Ville
44,Femme,6849,Oui,Algérie,Ville
22,Femme,2503,Non,Italie,Nature
51,Homme,9484,Oui,Colombie,Ville
28,Homme,2302,Non,Finlande,Nature
52,Femme,13265,Oui,Liban,Ville
50,Femme,1876,Non,Liban,Nature
43,Femme,2118,Non,Pérou,Nature
63,Femme,6156,Oui,Algérie,Ville
22,Homme,6240,Non,Australie,Ville
31,Femme,1405,Oui,Brésil,Nature
19,Homme,3348,Non,Pologne,Nature
32,Homme,13531,Oui,Koweït,Ville
42,Homme,2712,Non,Jordanie,Nature
32,Homme,3376,Non,Tunisie,Nature
57,Homme,9954,Oui,Chine,Ville
32,Femme,2380,Non,Inde,Nature
29,Homme,2648,Non,Emirats Arabes Unis,Nature
52,Femme,3222,Oui,Pologne,Nature
51,Homme,1923,Non,Iran,Nature
57,Femme,1430,Non,Algérie,Nature
61,Homme,12487,Oui,Danemark,Ville
28,Femme,3125,Non,Egypte,Nature
24,Homme,2940,Non,Espagne,Nature
27,Homme,11342,Oui,Corée du Sud,Ville
19,Femme,2295,Non,Sénégal,Nature
35,Homme,8690,Non,Mexique,Ville
59,Femme,2371,Non,Kenya,Nature
41,Homme,1316,Non,Italie,Nature
41,Femme,6887,Oui,Egypte,Ville
73,Homme,9613,Oui,Pakistan,Ville
51,Homme,5855,Non,Allemagne,Ville
55,Homme,4240,Non,Japon,Nature
22,Femme,3671,Non,Suisse,Nature
65,Homme,7272,Oui,Arabie Saoudite,Ville
73,Homme,9912,Oui,Indonésie,Ville
59,Femme,1391,Oui,Pologne,Nature
62,Homme,4685,Oui,Kenya,Ville
47,Femme,5933,Oui,Suisse,Ville
67,Homme,12595,Oui,Turquie,Ville
60,Homme,5924,Oui,Nigeria,Ville
70,Femme,11447,Oui,Jordanie,Ville
50,Femme,1363,Non,Nigeria,Nature
28,Homme,11874,Oui,Canada,Ville
22,Homme,2906,Non,Corée du Sud,Nature
51,Femme,3333,Oui,Pérou,Nature
29,Homme,3604,Non,Chine,Nature
25,Femme,3234,Non,Mexique,Nature
52,Femme,2423,Oui,Tunisie,Nature
26,Femme,2883,Non,Côte d Ivoire,Nature
38,Femme,3747,Non,France,Nature
33,Femme,2545,Non,Suède,Nature
29,Homme,2130,Non,Côte d Ivoire,Nature
50,Homme,1979,Non,Inde,Nature
53,Femme,2288,Oui,Norvège,Nature
41,Homme,2600,Oui,Japon,Nature
23,Femme,11175,Oui,Indonésie,Ville
30,Femme,9292,Oui,Indonésie,Ville
47,Femme,1484,Non,Thaïlande,Nature
39,Homme,1468,Non,Tunisie,Nature
49,Femme,2953,Non,Suède,Nature
47,Femme,10007,Oui,Pays-Bas,Ville
27,Homme,3756,Non,Indonésie,Nature
56,Homme,2986,Oui,Egypte,Nature
48,Homme,13394,Non,Chine,Ville
37,Femme,1420,Oui,Argentine,Nature
43,Femme,3333,Non,France,Nature
32,Homme,1465,Non,Jordanie,Nature
48,Homme,6293,Oui,Suède,Ville
54,Femme,1572,Non,Corée du Sud,Nature
37,Homme,3127,Oui,Pays-Bas,Nature
43,Femme,4437,Oui,Pakistan,Ville
22,Femme,3035,Non,Mexique,Nature
42,Femme,3697,Non,Tunisie,Nature
50,Homme,3622,Non,Emirats Arabes Unis,Nature
18,Homme,2439,Non,Norvège,Nature
48,Femme,1473,Non,Thaïlande,Nature
42,Femme,3186,Non,Nigeria,Nature
68,Homme,7840,Oui,Iran,Ville
27,Femme,4888,Non,Pologne,Ville
49,Femme,2330,Non,Danemark,Nature
35,Femme,14489,Oui,Algérie,Ville
29,Femme,3345,Non,Danemark,Nature
52,Femme,3703,Oui,Côte d Ivoire,Nature
38,Femme,3854,Oui,Italie,Nature
57,Femme,1445,Non,Finlande,Nature
45,Femme,2803,Oui,Australie,Nature
30,Homme,11692,Oui,Portugal,Ville
53,Homme,6946,Oui,Espagne,Ville
53,Homme,7521,Non,Côte d Ivoire,Ville
34,Homme,3909,Non,Pays-Bas,Nature
55,Femme,3242,Non,Brésil,Nature
21,Femme,2555,Non,Danemark,Nature
43,Homme,2428,Oui,Pologne,Nature
42,Femme,2127,Non,USA,Nature
24,Homme,6216,Oui,Emirats Arabes Unis,Ville
19,Homme,3352,Non,Canada,Nature
23,Femme,3235,Non,Portugal,Nature
37,Femme,2425,Non,Suède,Nature
50,Femme,3108,Non,Emirats Arabes Unis,Nature
48,Femme,3667,Oui,Finlande,Nature
24,Femme,3019,Non,Turquie,Nature
52,Femme,3644,Non,Pologne,Nature
41,Homme,10057,Non,Chine,Ville
30,Femme,2891,Non,Canada,Nature
44,Femme,7637,Oui,Australie,Ville
48,Homme,3200,Oui,Indonésie,Nature
39,Homme,2808,Non,USA,Nature
49,Homme,3561,Oui,Japon,Nature
42,Femme,3008,Non,Malaysia,Nature
39,Femme,11568,Oui,Malaysia,Ville
71,Homme,7428,Oui,Autriche,Ville
56,Homme,8008,Oui,Sénégal,Ville
23,Homme,10616,Non,Grèce,Ville
44,Femme,5156,Non,Egypte,Ville
37,Homme,3540,Non,Autriche,Nature
58,Femme,2997,Non,Liban,Nature
54,Femme,10942,Oui,Danemark,Ville
53,Homme,8206,Non,France,Ville
30,Femme,11506,Oui,Autriche,Ville
47,Homme,3701,Non,Corée du Sud,Nature
55,Homme,3586,Non,Egypte,Nature
39,Femme,4143,Non,Royaume-Uni,Nature
36,Femme,12783,Oui,Liban,Ville
22,Femme,2559,Non,Canada,Nature
54,Homme,14019,Oui,Mexique,Ville
50,Homme,1597,Non,France,Nature
44,Femme,3029,Oui,Côte d Ivoire,Nature
32,Homme,3398,Oui,Afrique du Sud,Nature
26,Femme,3472,Non,Emirats Arabes Unis,Nature
54,Femme,3131,Non,Italie,Nature
51,Homme,12953,Oui,Malaysia,Ville
23,Femme,3713,Non,Grèce,Nature
56,Homme,4007,Non,Pakistan,Nature
21,Femme,2387,Non,Australie,Nature
38,Homme,3716,Non,Afrique du Sud,Nature
19,Femme,2350,Non,Portugal,Nature
53,Femme,7751,Oui,Japon,Ville
19,Femme,2439,Non,Belgique,Nature
34,Femme,1212,Oui,Finlande,Nature
44,Homme,2116,Non,Suède,Nature
56,Homme,8151,Oui,Koweït,Ville
68,Femme,8986,Oui,Royaume-Uni,Ville
45,Femme,9545,Non,Kenya,Ville
50,Femme,12079,Non,Tunisie,Ville
53,Homme,3895,Non,Emirats Arabes Unis,Nature
34,Homme,1749,Non,Argentine,Nature
18,Homme,1551,Non,Kenya,Nature
40,Homme,11800,Non,Indonésie,Ville
32,Femme,1226,Non,Pays-Bas,Nature
44,Femme,7569,Oui,Grèce,Ville
64,Homme,10908,Oui,Jordanie,Ville
41,Femme,9994,Oui,Jordanie,Ville
54,Femme,10772,Oui,Allemagne,Ville
26,Femme,2641,Non,Pologne,Nature
26,Femme,5922,Oui,Egypte,Ville
22,Homme,8916,Oui,Jordanie,Ville
42,Femme,3537,Non,Malaysia,Nature
29,Femme,2963,Non,Pérou,Nature
51,Homme,2345,Non,Iran,Nature
51,Homme,11906,Oui,Inde,Ville
38,Femme,2587,Oui,Côte d Ivoire,Nature
47,Homme,5891,Non,Danemark,Ville
67,Homme,12434,Oui,Sénégal,Ville
44,Homme,3828,Non,Allemagne,Nature
34,Homme,8476,Oui,Koweït,Ville
26,Femme,3676,Non,Danemark,Nature
46,Femme,1508,Non,Pologne,Nature
35,Homme,1794,Oui,Espagne,Nature
70,Homme,10008,Oui,France,Ville
21,Femme,1274,Non,Suède,Nature
64,Femme,5322,Oui,Finlande,Ville
48,Femme,13834,Oui,Algérie,Ville
25,Femme,3139,Non,Autriche,Nature
52,Femme,11003,Oui,Royaume-Uni,Ville
20,Femme,3708,Non,Algérie,Nature
42,Homme,2741,Oui,Portugal,Nature
31,Femme,1429,Non,Liban,Nature
42,Homme,3843,Oui,Russie,Nature
19,Femme,1692,Non,Nigeria,Nature
44,Homme,2299,Non,Russie,Nature
41,Homme,2264,Oui,Royaume-Uni,Nature
58,Homme,3949,Non,Allemagne,Nature
63,Homme,13774,Oui,Sénégal,Ville
22,Femme,1801,Non,Portugal,Nature
27,Homme,2597,Non,Afrique du Sud,Nature
20,Femme,1273,Non,Afrique du Sud,Nature
24,Homme,2761,Non,Colombie,Nature
30,Homme,2469,Non,Kenya,Nature
32,Femme,2017,Non,Russie,Nature
40,Homme,10654,Oui,Afrique du Sud,Ville
67,Homme,8812,Oui,Royaume-Uni,Ville
26,Homme,8172,Oui,Koweït,Ville
63,Homme,10726,Oui,France,Ville
56,Homme,8180,Non,Belgique,Ville
59,Femme,1726,Oui,Norvège,Nature
60,Homme,3575,Non,Allemagne,Nature
36,Homme,2633,Non,Algérie,Nature
43,Homme,1644,Non,Suisse,Nature
48,Femme,12812,Oui,Belgique,Ville
52,Femme,8529,Oui,Tunisie,Ville
55,Homme,1667,Oui,Brésil,Nature
56,Femme,9202,Non,Afrique du Sud,Ville
28,Homme,2618,Non,Indonésie,Nature
43,Homme,3817,Non,Danemark,Nature
55,Femme,7635,Non,Japon,Ville
45,Homme,2372,Non,Thaïlande,Nature
54,Homme,2214,Non,Jordanie,Nature
41,Femme,3484,Non,Corée du Sud,Nature
50,Homme,2205,Non,Argentine,Nature
24,Femme,1282,Non,Pologne,Nature
29,Femme,7548,Oui,Mexique,Ville
72,Femme,10145,Oui,Autriche,Ville
19,Homme,3554,Non,Maroc,Nature
43,Femme,7670,Oui,Espagne,Ville
23,Homme,2636,Non,Suisse,Nature
30,Femme,3526,Non,USA,Nature
30,Femme,2806,Non,Egypte,Nature
44,Femme,6260,Oui,Royaume-Uni,Ville
40,Femme,3870,Non,Egypte,Nature
59,Femme,12077,Oui,Allemagne,Ville
48,Homme,3306,Oui,Pays-Bas,Nature
25,Femme,1922,Non,Canada,Nature
26,Femme,2312,Non,Russie,Nature
18,Homme,2985,Non,Russie,Nature
27,Homme,2579,Non,Turquie,Nature
48,Homme,3462,Oui,Royaume-Uni,Nature
42,Homme,12253,Oui,Canada,Ville
50,Homme,8025,Oui,Brésil,Ville
53,Homme,3188,Non,Australie,Nature
49,Femme,8137,Non,Tunisie,Ville
41,Homme,2449,Non,Algérie,Nature
61,Homme,12923,Oui,Qatar,Ville
23,Homme,3400,Non,Koweït,Nature
39,Femme,3465,Non,Tunisie,Nature
63,Homme,12385,Non,Royaume-Uni,Ville
57,Femme,2899,Oui,Côte d Ivoire,Nature
39,Femme,9791,Oui,Pakistan,Ville
43,Homme,11818,Non,Liban,Ville
29,Homme,3505,Non,Brésil,Nature
70,Femme,5568,Oui,Arabie Saoudite,Ville
63,Homme,13802,Oui,Pakistan,Ville
59,Femme,1214,Oui,Belgique,Nature
25,Femme,2832,Non,Sénégal,Nature
49,Homme,11322,Oui,Kenya,Ville
75,Femme,8929,Non,Norvège,Ville
46,Homme,2925,Oui,Sénégal,Nature
66,Femme,5560,Oui,Inde,Ville
52,Femme,3481,Non,Grèce,Nature
46,Homme,14411,Oui,Allemagne,Ville
57,Homme,11055,Oui,Russie,Ville
64,Femme,6694,Oui,Jordanie,Ville
48,Homme,3264,Oui,Malaysia,Nature
36,Femme,3351,Oui,France,Nature
34,Homme,1858,Non,Grèce,Nature
49,Femme,1844,Non,Autriche,Nature
55,Femme,1436,Oui,USA,Nature
42,Femme,13780,Oui,Nigeria,Ville
61,Femme,11462,Oui,Colombie,Ville
56,Homme,7823,Oui,Japon,Ville
54,Homme,8138,Oui,Australie,Ville
68,Homme,13362,Oui,Kenya,Ville
55,Femme,8450,Oui,Inde,Ville
74,Femme,10822,Oui,Norvège,Ville
32,Homme,2212,Non,Koweït,Nature
67,Homme,8240,Oui,Pologne,Ville
55,Homme,2664,Non,Brésil,Nature
54,Homme,11884,Oui,Egypte,Ville
44,Homme,3220,Non,Chine,Nature
74,Homme,5173,Oui,Portugal,Ville
58,Femme,1553,Non,Australie,Nature
37,Femme,6263,Non,Côte d Ivoire,Ville
57,Homme,1720,Oui,Nigeria,Nature
42,Homme,3610,Non,Maroc,Nature
22,Homme,13061,Non,Liban,Ville
26,Femme,10877,Oui,Portugal,Ville
41,Homme,1405,Non,Portugal,Nature
19,Homme,3474,Non,Colombie,Nature
24,Homme,5477,Non,Italie,Ville
33,Femme,2651,Non,USA,Nature
54,Femme,2748,Non,USA,Nature
75,Femme,10175,Non,Japon,Ville
21,Femme,1305,Non,Mexique,Nature
53,Homme,8703,Oui,Suède,Ville
47,Homme,9532,Oui,Suède,Ville
27,Femme,3092,Non,Russie,Nature
70,Homme,14492,Oui,Grèce,Ville
73,Femme,6845,Oui,Iran,Ville
35,Homme,2570,Oui,Russie,Nature
46,Femme,8998,Oui,Russie,Ville
67,Homme,13104,Oui,Belgique,Ville
26,Homme,4843,Non,Egypte,Ville
54,Femme,9715,Oui,Canada,Ville
44,Femme,13430,Oui,Australie,Ville
32,Femme,2670,Non,Suisse,Nature
37,Homme,10775,Non,Allemagne,Ville
33,Femme,9408,Oui,Thaïlande,Ville
68,Femme,9464,Non,Australie,Ville
24,Femme,6854,Non,Pakistan,Ville
23,Femme,9653,Non,Emirats Arabes Unis,Ville
75,Femme,9618,Oui,Pays-Bas,Ville
19,Homme,3242,Non,Tunisie,Nature
28,Homme,3675,Non,Kenya,Nature
36,Homme,8031,Non,USA,Ville
55,Homme,1743,Oui,Royaume-Uni,Nature
50,Femme,5590,Oui,Qatar,Ville
23,Homme,2492,Non,Portugal,Nature
31,Homme,7621,Oui,Belgique,Ville
37,Femme,6993,Oui,Koweït,Ville
71,Femme,9170,Oui,Royaume-Uni,Ville
57,Femme,3049,Oui,Grèce,Nature
23,Homme,13651,Oui,Royaume-Uni,Ville
68,Homme,10562,Oui,Turquie,Ville
59,Homme,3429,Non,Sénégal,Nature
48,Homme,7030,Oui,Chine,Ville
51,Femme,10888,Oui,Iran,Ville
71,Femme,14195,Oui,Japon,Ville
31,Femme,12869,Oui,Argentine,Ville
50,Homme,9704,Non,Pakistan,Ville
20,Femme,1878,Non,Kenya,Nature
48,Homme,3758,Non,Royaume-Uni,Nature
36,Homme,1595,Non,Sénégal,Nature
42,Femme,3499,Oui,Maroc,Nature
73,Homme,7005,Oui,Pays-Bas,Ville
39,Femme,11442,Oui,Grèce,Ville
69,Homme,6509,Oui,Portugal,Ville
27,Femme,4832,Oui,Mexique,Ville
25,Homme,2673,Non,Qatar,Nature
47,Femme,1166,Oui,Inde,Nature
34,Femme,6435,Oui,France,Ville
54,Homme,3202,Non,Japon,Nature
55,Homme,2313,Non,Indonésie,Nature
30,Femme,1522,Non,Liban,Nature
26,Homme,5391,Non,Suisse,Ville
21,Homme,1444,Non,Allemagne,Nature
32,Homme,8538,Oui,Australie,Ville
23,Homme,9521,Non,Emirats Arabes Unis,Ville
44,Femme,3218,Oui,Pays-Bas,Nature
44,Femme,7412,Oui,Afrique du Sud,Ville
58,Femme,1248,Non,Thaïlande,Nature
48,Femme,9733,Non,Autriche,Ville
54,Homme,11901,Oui,Pakistan,Ville
75,Homme,5674,Oui,Tunisie,Ville
18,Homme,2208,Non,Russie,Nature
71,Homme,8889,Oui,France,Ville
67,Femme,10427,Oui,Brésil,Ville
49,Femme,2423,Non,Grèce,Nature
22,Femme,10466,Non,USA,Ville
19,Femme,3153,Non,Qatar,Nature
47,Homme,13353,Oui,Algérie,Ville
60,Homme,2641,Non,Royaume-Uni,Nature
51,Femme,8048,Oui,France,Ville
28,Homme,11151,Oui,Suède,Ville
23,Homme,2019,Non,USA,Nature
33,Femme,5579,Oui,Turquie,Ville
58,Homme,2956,Oui,USA,Nature
41,Homme,3365,Non,Côte d Ivoire,Nature
56,Femme,3896,Non,France,Nature
36,Femme,3800,Oui,Egypte,Ville
40,Femme,4200,Oui,Egypte,Ville
42,Homme,4500,Oui,Allemagne,Ville
45,Femme,5000,Oui,Japon,Ville
50,Homme,4800,Oui,Italie,Ville
38,Femme,3500,Oui,Allemagne,Ville
44,Homme,5200,Oui,Allemagne,Ville
48,Femme,4000,Oui,Italie,Ville
52,Homme,3900,Oui,Espagne,Ville
55,Femme,5500,Oui,Liban,Ville
37,Homme,4100,Oui,Egypte,Ville
43,Femme,4700,Oui,Corée du Sud,Ville
46,Homme,5100,Oui,Corée du Sud,Ville
49,Femme,3700,Oui,Espagne,Ville
53,Homme,5300,Oui,Japon,Ville
30,Homme,3200,Non,Sénégal,Nature
33,Femme,3600,Non,Algérie,Nature
35,Homme,4000,Non,Sénégal,Nature
38,Femme,3100,Non,Mexique,Nature
40,Homme,3500,Non,Pologne,Nature
32,Femme,4300,Non,Pologne,Nature
36,Homme,3800,Non,Algérie,Nature
39,Femme,4100,Non,Indonésie,Nature
41,Homme,3300,Non,Indonésie,Nature
45,Femme,3700,Non,Tunisie,Nature
34,Homme,4600,Non,Indonésie,Nature
37,Femme,3400,Non,Sénégal,Nature
42,Homme,4900,Non,Indonésie,Nature
44,Femme,3900,Non,Mexique,Nature
47,Homme,4400,Non,Algérie,Nature
24,Homme,8000,Non,Maroc,Nature
27,Femme,7500,Non,Algérie,Nature
26,Homme,9000,Non,Tunisie,Nature
23,Femme,6500,Non,Sénégal,Nature
29,Homme,8500,Non,Maroc,Nature
62,Femme,2500,Oui,France,Ville
68,Homme,1800,Oui,Espagne,Ville
65,Femme,3000,Oui,Italie,Ville
70,Homme,2200,Oui,Allemagne,Ville
67,Femme,2800,Oui,Liban,Ville
38,Femme,4200,Oui,France,Ville
41,Femme,3900,Oui,Espagne,Ville
44,Femme,4600,Oui,Italie,Ville
35,Homme,4100,Non,Maroc,Nature
39,Homme,3700,Non,Algérie,Nature
43,Homme,4800,Non,Tunisie,Nature
58,Homme,5000,Non,Maroc,Nature
63,Femme,4500,Non,Algérie,Nature
28,Femme,3200,Oui,France,Ville
31,Homme,2900,Oui,Espagne,Ville
